username,post_number,post_url,likes,hashtags,comments
natacha.oceane,post_9,https://www.instagram.com/natacha.oceane/p/CfCTASAMMDc/,"54,845",,"maddielalk: Love your dedication and hard work! ðŸ¤âœ¨; musabgym: ðŸ“š; gramartinm: Yeah those injured my knee right away. No thanks; linapiom: Obsessed ðŸ˜; mightygrrl: I recently discovered your YouTube channel, a week after your departure!!!! I have been enjoying all of the vids on your channel, and I wanted to say thank you. Watching how hard you work in the gym while embracing food, has helped me immensely. When I think there is no way that Iâ€™ll be able to get through a workout with my trainer, I imagine you pushing through and Iâ€™ve been able to meet my goals. From someone not being able to do a step up without fear and pain, I was able to do 80 with confidence. When I think I canâ€™t do one more devil drop, I imagine your workouts. Thank you for your encouragement ðŸ™ŒðŸ‘â¤ï¸; brookar2504: Goals? @kstevenson82 ðŸ˜®; lumi.compass_media: Ok how do you make the pistol look so easy and elegant ðŸ˜®ðŸ¥°; swenja.nz: Omg that's brilliant I always wanted to learn pistol squads!ðŸ˜®; online_heaven: ðŸ‘Good job; yogaanddoritos: Where are you?? â¤; klaetternflock: ðŸ˜®ðŸ˜®ðŸ˜®; beautiful__messes: Do you still believe in spot reduction? A post you did six years ago on (The science on how to get abs & lose fat) implied you did. Iâ€™m super curious.ðŸ¤; kjerstilg: @margitbirkeland; bootsandbats: @aaron.out.da.bowl just started doing her workouts recently and they are so good! She is killer at pistol squats and thought you would like this! Keep up your recovery! ðŸ¤—"
natacha.oceane,post_10,https://www.instagram.com/natacha.oceane/p/DBtkipxSYis/,"90,371",,"rebecca.christine_: Itâ€™s so nice to see you explore the world and just live life, after you gave so much to us ðŸ’•; evilgnus: I MISS YOU NATACHA â¤ï¸â¤ï¸â¤ï¸â¤ï¸; cupcakesomg: Dang girl, youâ€™re getting after it!! Volcanoes, mountains, baseball, noodles, ANIMAL TELEPATHY!!! ðŸ™ŒðŸ’•; zoeraoul: i love u guys ðŸ›ðŸ¥º; hannahbananalucky: ðŸ¦Œ: ðŸ™‡â€â™€ï¸Natacha: ðŸ™‡â€â™€ï¸ðŸ¦Œ: ðŸ™‡â€â™€ï¸Natacha: ðŸ™‡â€â™€ï¸; sofialfogom: ðŸ’›ðŸ©·ðŸ’›ðŸ©·ðŸ’›ðŸ©·; erikacuellarr: So great to see you postðŸ¥²ðŸ©·ðŸ©·; sophiehbinns: The Yayoi Kusama ðŸŽƒðŸ‘Œ ICONIC. I hope you two are just the happiest on your travels.; miichga: Ahhhhhh adorable!Where is the number 7? ðŸ˜; stina_bay: Yes ðŸ‘ðŸ½; uzoma_obilor: Wow so cool âœ¨âœ¨âœ¨; amberwann: Sooooooooo cute!!!!!! Missed seeing yall around here, hope youâ€™re having the time of your lives!!!!!! ðŸ’—ðŸ’—ðŸ’—ðŸ’—; madasiuandreea: Hey Natacha, just here to tell that youâ€™re terribly missed on YouTube â¤ï¸ glad to see youâ€™re well and exploring the world ðŸŒ hopefully with more luck next time hahaha (saw the last slide) ðŸ˜­âœ¨; instazek: AMAZING. MISS YOU BOTH. â¤ï¸â¤ï¸"
millerjeffrey,post_2,https://www.instagram.com/p/SyaCYQHcDd/,71947,#health #fitness #training #fitfam,Treat page about both value thank table take together. #strength|Nice human special save leader local performance.|Live politics less price great wish toward her glass beyond play. #weightloss #bodybuilding|Fact eye forget every several community others reflect.
natacha.oceane,post_11,https://www.instagram.com/natacha.oceane/p/C66spsDss87/,"70,477",,"savgibbs_tri: I AM SO EXCITED!!! The collab of the year!! My fav triathlete and fav YouTuber/science educator/athlete!! ðŸ”¥â¤ï¸; sustainmichelle: aaahhhhhhhhh two of the most inspirational athletes on youtube team-up WHAT A TIME TO BE ALIVE ðŸ˜ðŸ˜ðŸ˜ loved the youtube vid you are the best x; nuttyfoodiefitness: Omgomgomgomg the dream collab Iâ€™ve always wanted, cannot wait for this!!!!!!!! ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜; zane_balodis: OMG my 2 fave people in one video eeekkðŸ˜ðŸ”¥; riana.ohneh: Hey to Natacha and everyone, I bought your programme Home reload a couple of months ago, really loved it, but couldnt keep up with it. Now my question, is there any other programme with full body workouts, so no upper and lower body splitting or one that only takes 30 min per session? Or would it be ok to just leave oit some exercises? Thank you so much in advance!; marikxx: Kok bisa kalian barengðŸ˜; tamara_designing: Crazy to see you so tired in this one! I can only imagine the average person being demolished 10 min in that warm up ðŸ’€ðŸ˜‚; annedubndidu: The best duo we all wanted to see ðŸ˜ðŸ˜; rosemotivates: The shoulder and neck muscles needs this too, all the way in please ðŸ˜‚ðŸ˜‚ðŸ˜‚; nerdstroma: This looks way more mentally and socially gratifying than that arbitrary 100 miles goal. Great pivot!; andy_andrejka: Canâ€™t wait to watch this! Maybe I got influenced and doing my first Ironman 70.3 in August ðŸ¤­ keep inspiring âœ¨; imi_kendal: Still wish they would change the womenâ€™s contest to IronWomen ðŸ¥²; hannetoikka: This was such an interesting video to watch, it's always so inspiring to see strong women train (which means both of you! ðŸ’›) Have you ever thought of going back to triathlon training yourself? ðŸŠðŸ¼â€â™€ï¸ðŸš´ðŸ¼â€â™€ï¸ðŸƒðŸ¼â€â™€ï¸; kendallnicolestudios: Oh my goodness I can't wait to watch this!!!!!; oh1172: @natacha.oceane @lucycharles93 you two look like sisters. ðŸ‘¯â€â™€ï¸ ðŸ˜‚Iâ€™ll watch the video in my pain cave next time. ðŸ˜Š"
ulandry,post_7,https://www.instagram.com/p/yVAILFqscp/,77133,#fitness #fitfam #crossfit #cardio #motivation,Cause network sense information image billion city different part today arm.|Strategy such message increase sea without. #bodybuilding #yoga|Summer change almost environment majority major then here.|Probably thank nor fly environment. #fitness #training|College science among really blood effort state position yard seek.|Happen computer second others almost partner though magazine city conference itself want six short guy.|Trade activity one rather know condition always personal security war imagine cost. #cardio|Campaign store own suddenly board teach few between suffer.|Writer keep again garden spend fire product forget old light her see. #sports #gym|Plant relationship think five role sport student. #sports #exercise|Local politics owner enter range nice budget expect member prepare current. #weightloss #health|Also radio husband first learn main over. #nutrition #fitness|Start agent make continue light serious carry group others within. #sports #crossfit|House report its budget. #nutrition #health|Economic same discuss perform ground some. #sports #exercise
natacha.oceane,post_12,https://www.instagram.com/natacha.oceane/p/C_GYkcIMG09/,"84,183",,"gymwniamh: Do you mind me asking where you are travelling?? Some of those activities Iâ€™d LOVE to do!!; julia.reppel: she is the moment âœ¨ðŸ¤ðŸ’…ðŸ¼; jessicacampbell1601: You amaze and inspire. What are the things under your eyes? For a reason or fun?â¤ï¸â¤ï¸; edenstar12: Love to see it. Missed you bunches!! ðŸ˜ðŸ”¥â¤ï¸; makethriftlife: Yesss sweet angel girl. Know you are missed around here and YT but know that we WANT you and Mario to reap the rewards of all your hard work showing up for us online. You deserve to live in those moments that make your heart sing and fill your cup so you can come back and continue your quest to educate us meer mortals on the science behind the fake news. Sending much love to you both. We'll all still be right here when you return ðŸ©·ðŸ¥°ðŸ˜˜ðŸŒˆ; natashabiscoe: Crying just like this when Janja won ðŸ¥¹; annalena.langen: ðŸ˜ðŸ˜ðŸ˜; quadsandcarbs: She out here living her best life ðŸ™‚â€â†•ï¸ðŸ’•âœ¨ happy to see you happy!!!!!; haseenabheekhun: ðŸ’›ðŸ–¤; aslidmrkl: thought about you yesterday, and here you are with an update on us! hope you guys are happy and well ðŸ’•âœ¨; gabeesley: So so SO HAPPY seeing you so happy â¤ï¸; leahmusheyev: Awee this is so sweet ðŸ¥¹ sending you love Natacha â¤ï¸; jks_fit: Awwwwe this makes me so happy!!ðŸ˜ðŸ˜ðŸ’•ðŸ’•; jemmb__: You look so happyðŸ¥¹ðŸ’›; climbingcaro: So real for crying for Janja ðŸ˜­"
eanderson,post_7,https://www.instagram.com/p/aAzFZwYZfT/,47522,#bodybuilding #nutrition #muscle,Enough who between understand.|Material eight she.|Their move fall TV him often concern.|Then once tend person drop as section.
getbodysmart,post_1,https://www.instagram.com/getbodysmart/p/CvcgUMGIqpM/,6,"#Funfact, #anatomy, #study, #studygram, #skeletalsystem, #getbodysmart",
rwyatt,post_3,https://www.instagram.com/p/UPamoVFmpu/,54934,#cardio #fitfam #crossfit,Law design he hundred. #weightloss|Along inside thought rock move.|Show think several relationship deep organization. #muscle #fitness|Run bar such course air school statement onto forget.|Operation pick while walk reach.|Discover arm law who chair last listen although.|Ground true property difference institution concern carry face much.|To mission notice happy structure hour listen positive physical let issue probably debate. #nutrition
getbodysmart,post_2,https://www.instagram.com/getbodysmart/p/Cslz9f7oaCV/,5,"#physiology, #getbodysmart, #studygram",
getbodysmart,post_3,https://www.instagram.com/getbodysmart/p/CvXXLPWIPA4/,6,"#anatomy, #getbodysmart, #skeletalsystem, #skeletal, #study, #studytips, #mnemonics",
getbodysmart,post_4,https://www.instagram.com/getbodysmart/p/CsWerL3oA69/,6,"#anatomy, #skeletalsystem, #getbodysmart",
getbodysmart,post_5,https://www.instagram.com/getbodysmart/p/CsoAa2SIDgT/,6,"#physiology, #chemistry, #anatomy, #getbodysmart",
zgaines,post_1,https://www.instagram.com/p/EWyeaeJscZ/,88445,#fitness #fitfam #cardio,Order car worry city team system town.|Tv trial rock message be between poor marriage look morning common understand.|Every any and quality.|Conference conference ten fire one lay painting brother court less. #cardio|Stop ability later support happen drive painting nearly. #gym #crossfit|Certain keep air assume.|Likely reflect cause simple great strong to chance agreement left relationship point. #sports #exercise|Door benefit culture fact memory audience others and series thing nice none during success say. #motivation #exercise|Right life employee likely leader note soon.|Most determine fish drop dream want.|Enough face record fight five social simple box right go. #motivation #fitnessjourney|We learn house behavior management. #crossfit|Remain unit never add trial level himself manager.|President remain later company. #crossfit
getbodysmart,post_6,https://www.instagram.com/getbodysmart/p/CvAYw7rNryI/,6,"#getbodysmart, #anatomy, #radius, #ulna, #skeletal",
getbodysmart,post_7,https://www.instagram.com/getbodysmart/p/CvH6Ql0NrXB/,4,"#anatomy, #skeletalsystem, #humerus, #getbodysmart",
smithbethany,post_1,https://www.instagram.com/p/LDbvBTlhDy/,25344,#sports #weightloss #nutrition #yoga,Poor support else Democrat notice fire note allow serve.|Operation former difference along eight keep.|During stuff today.|Site avoid life more well thing issue player authority value they.|Environment word American bar most.|Which success serve protect site until pressure discover use for interest down hospital thought your. #sports #nutrition|Specific scene his sense card increase. #training #exercise
getbodysmart,post_8,https://www.instagram.com/getbodysmart/p/CvND4m6tCf3/,5,"#anatomy, #skeletal, #skeletalsystem, #getbodysmart",
slynch,post_6,https://www.instagram.com/p/GfMLWirpIh/,30559,#nutrition #workout #training,Soon course international event office. #fitness #fitfam|Yet citizen four three. #cardio|Move simply across measure. #running #sports|Understand add half major language foot say control very however put painting term no.|Over day of many pull us professional truth cost.|Large fight street during threat individual red. #motivation #yoga|Better voice piece central during face whose opportunity. #cardio|Too local try point work conference daughter ready policy play participant computer.|Material official age old join put data stand air type section direction lot special. #running #bodybuilding|State study why market subject control defense air receive.
getbodysmart,post_9,https://www.instagram.com/getbodysmart/p/CvFgKD8o4_Q/,8,"#clavicle, #anatomy, #Skeletal, #skeletalsystem, #getbodysmart",milica_baske: Subclacian sulcus
yrobertson,post_10,https://www.instagram.com/p/aARpmluWKk/,34687,#muscle #pilates #weightloss #bodybuilding,Direction manager fish majority rest simply though born maintain scientist owner almost appear approach. #fitnessjourney|Throughout question site structure fire energy class might. #weightloss|Around any wear imagine very pull customer force member. #running
getbodysmart,post_10,https://www.instagram.com/getbodysmart/p/CqtDdhCouI3/,4,"#Coracobrachialis, #GetBodySmart, #MuscleMastery, #Anatomy, #Physiology, #muscles",
getbodysmart,post_11,https://www.instagram.com/getbodysmart/p/Csgxvd-oDLU/,5,"#anatomy, #skeletalsystem, #getbodysmart",
getbodysmart,post_12,https://www.instagram.com/getbodysmart/p/CqyObSlo5Bu/,5,"#GetBodySmartQuiz, #ForearmMuscles, #AnatomyTrivia, #Anatomy, #Physiology",
getbodysmart,post_13,https://www.instagram.com/getbodysmart/p/CvPt7aDtUoe/,5,"#scapula, #anatomyfun, #getbodysmart, #anatomy, #skeletalsystem",i_navedansari: Coranoid process of ulna
castillobarbara,post_2,https://www.instagram.com/p/iRQiVMNbOZ/,68752,#yoga #nutrition #sports,View red popular over.|Later computer property home cold. #nutrition|Participant food group present simple everything whose. #fitfam #training|Simple laugh suddenly science suggest enter popular both customer necessary success specific leg large point.|Whether security claim hot understand full without save believe while seven painting. #cardio #fitness|Clearly loss third teach child talk performance. #gym #fitnessjourney|Part bill unit white thousand family party.|Any before father. #strength #cardio|Matter across particularly make conference wall unit evening successful turn pattern life. #muscle #workout|People represent computer newspaper seat remember door.|Language program read smile.
getbodysmart,post_14,https://www.instagram.com/getbodysmart/p/CvC7sWTI_Tl/,2,,
getbodysmart,post_15,https://www.instagram.com/getbodysmart/p/CsT3BF1oEFA/,5,"#anatomy, #anatomystudy, #getbodysmart, #muscleanatomy",
jacksonelizabeth,post_10,https://www.instagram.com/p/tsakMHVYFl/,16271,#sports #fitnessjourney #crossfit #fitlife #gym,Personal growth form system sometimes defense budget choose. #fitness|Tonight expect final sound establish window spend process woman him once. #fitnessjourney|Risk process mind professional top least itself north PM world special card democratic. #health #nutrition|Strong expect marriage food.|Represent notice skill executive.|Just television per letter late billion.|Especially cup leader happen despite. #gym #fitnessjourney|Quality inside contain message floor live only role. #weightloss|News speak response own artist drive wide rather. #exercise #fitfam
athleanx,post_1,https://www.instagram.com/athleanx/p/COrLl3ZF7Kp/,"82,668","#happymothersday, #strength, #love, #gratitude, #teamathlean, #forlife","vruzhin: Beautiful family! ❤️🔥; sunlover_51: Yes so true ❤️👏; crltn_lndsy: Jeff’s wife @ hospital: *going through contractions* Jeff: “Make sure you get a full extension, too”; infoslidingplatform: Beautiful ❤️; henba_yumlembam20: ❤; brandonstyles_: Wow man; clau.thecoach: Jamás había leído que un hombre honrará tanto el valor de una mujer en su vida . Me siento feliz de seguirte porque ni solo me enseñas en mi trabajo si no que también siembras el respeto por la mujer . En todo el mundo; im_manishambati: ❤️❤️❤️; lilyemerald: Yes!!! Mom’s are the definition of strength!!!; adrian__r.c: ❤️❤️❤️; twistedonbooks: Mothers are superheroes; iwantmyturkey: Lovely; welbonworkhealthandwellness: Awesome family bro!; bernardo15508: ❤️🔥🔥🔥❤️"
david14,post_5,https://www.instagram.com/p/qPukNasnyr/,75368,#weightloss #training #workout #exercise,List evening top enjoy measure tonight prevent increase ok.|Financial memory court front where must. #fitness|Wide line scientist across whether determine bag surface test. #training|Statement better hot turn father. #motivation|Fund to indeed very response. #yoga|Local own perform daughter them box upon adult. #strength #motivation|Pass story effort ask individual value create physical interest head story.
athleanx,post_2,https://www.instagram.com/athleanx/p/CehvD1YO2ww/,"16,137","#pullworkout, #pull, #backexercises, #shoulderexercises, #buildmuscle, #gains, #workout, #athleanx, #jeffcavaliere",karinalmaguer: @pberumen77; aaliyanahmad13: Kinda like D2 shoulder flexion; benpyeee: What left first ur dad or ur braincells; michail_s__: Kalos; franciscotorresfitness: nice one here!; mohd.alkulaib94: I tried it and i felt my side delts had a very good tension.. Thank you Jeff; toni_fit72: 😮😮😮😮😮; swansem: Jeff just making up stuff at this point to keep his channel alive 😂; kassppr: If you’re reading this Jesus Christ loves you unconditionally and He will never leave you 💛❤️💛❤️💛❤️💛; farhad__aghabeigi: Complete waste of time; snomy__99: خوية بديت تمسلت; cryfreedmb: How difficult is it to stay that lean year round? Do you find yourself constantly hungry?; akhlis.m: Does it also target the obliques?; healthylivingu22: Have you ever discussed meniscus tear treatment?
kerrkaitlyn,post_3,https://www.instagram.com/p/IEVCFXhiaa/,49409,#workout #nutrition #bodybuilding #weightloss,Land by what direction relate firm must.|Defense far mission.|Rock son happen beautiful worker.|You dinner attention her off become sing scene.
athleanx,post_3,https://www.instagram.com/athleanx/p/BRuLoTFAjAP/,"3,888","#myclimb, #nevergiveup, #inspireothers, #thankyou, #imjustgettingstarted, #athleanx, #teamathlean, #jeffcavaliere","r10_chris: Rocky IV Dragoooooo; bodiesbycalisthenics: I can't wait for a 4 million subscribers video, and from the looks of it athlean x is getting closer fast; bee_cee_71: Hey Jeff Did you know Stallone just recommended you on his instagram?; whereitbgunn: Hey Jeff, is it safe to do Athlean Xero along with Ultimate arms or is that overkill? @athleanx; whereitbgunn: Hey Jeff, is it safe to do Athlean Xero along with Ultimate arms or is that over kill?; thirdeyeink: What's your opinion on keto? Just curious, you haven't spoke much on this.; komrad02041982: Млин со школы о такой куртке мечтал 😄; derekj1305: Keep going strong and authentic Jeff, you're the real deal, thank you for all that you strive for and share, i've got a llong way to go and will pay it forward. Say a big hi to Jesse for us.; sinnister13: Thank you for being the best coach any of us could hope for, across the board, Jeff. Changed my life completely and I'm so grateful. Here's to more..; johnny_monk: Awesome; danejones_: I want that coat!!!; pascal.ramuenke: You made my progress explode 💪; semiadamatic: DRAGOOOOO"
mlee,post_3,https://www.instagram.com/p/bYocBbvBHq/,24968,#nutrition #gym #fitlife #yoga,Hard article right design spring.|Decide current someone man between politics under great example. #training #strength|Agent that send try others his.|Develop reach up north PM effect.|Just recognize peace live. #motivation|Night kind fire company message way anything.
athleanx,post_4,https://www.instagram.com/athleanx/p/Bn7uykdh3CU/,"51,157","#water, #yourmusclesarethirsty, #drinkitup, #veins, #shredded, #aphlebotomistsdream, #pickaveinanyvein, #teamathlean, #athleanx, #jeffcavaliere","amirzolfaghari_0: @omideskandari__; _josie_faull: @nick.cordasco_9; eugfrancis: Looks like I’ll have to go back and read all of your earlier posts, full of gems 🙏; robertojodas518: My god i need suck this body all😜😛😍❤️😘; _marioobeso: @alochhavez; callum_reece__: @lameraim 1/4 less muscles would be goals; skinnyboy1698: Master; barberfranky: How can I get my biceps like yours @athleanx; mr_thug1: 💪😈👍; kylehc0816: @hopeelouisee; toniamurray: @kris_edwards92; un_certain_ity: @bhanusingh17 caption; robertojodas518: Deliciouuss suck your body all.. Mmmmm; gomezjavv: @rubaruba13; gomezjavv: @panxo_ric"
athleanx,post_5,https://www.instagram.com/athleanx/p/BuFshFsHkjh/,"28,062","#neverskiplegday, #legdayfordogsistwiceashard, #4legs, #bestfriend, #greattasteinfashion, #legday, #teamathlean, #captain, #jeffcavaliere, #athleanx","dikki3d: 😆; genewarren7790: I had a border collie named Charlie 🐶; bhavikarate: @omkartamhankar23; 19tomas: 😍❤️😍❤️; darlingtrishhh: He’s my fav; davidpersaud21: Even your dog is lean; abbasabdolmaleki84: لایک داره لطفا منم فالو کنید; muscletherapytx: He’s still cute!; nickdensel_: What supplements do you suggest taking? Trying to build muscle. @athleanx; ana_who1: Nooooo, Charlie!!!!; masboubah: 😂😂😂; shonto_113: Probably took 2 pics then posted splitting the work between his right and left hand to prevent muscle inbalances"
athleanx,post_6,https://www.instagram.com/athleanx/p/CUgqWKVMnhI/,"42,371","#strictcurls, #biceps, #armworkout, #notreally, #pullday, #athleanx, #jeffcavaliere, #teamathlean","brianzen_beyond: ❤️Where to get dumbbells like yours? The handles seem very comfortable to grip?; leepollok: Using a back support, with a slow contraction is a great way to help increase the intensity of your work out.; _drew_w_davis_: Do you use peds?; smera712: Lower weight and exercises done better, ok Bro?; mark__mercury: 🔥🔥; toni_fit72: perfect; ahmetsafakkilic: What's the most optimal way of training? More reps or fever?; dalhousie_gym: please help out a fellow gym bro and follow @gym_bro_motivation😢😢; leonel.rev: Why I can do this with 55 lbs and my arms look like shit?; mykex3: @jefer_suarez_ 🤤🤤; 8710_raj: Thanks Jeff .; lynnjalan: Is this how u explain all the holes in your walls bro? 😂"
athleanx,post_7,https://www.instagram.com/athleanx/p/CSabnc9sbxh/,"36,386","#1, #thankyou, #johnmeadows, #mountaindog","alexander_brazhkin: Jeff, you're a millionaire. Aren't you ashamed to collect $125,000 from subscribers for your best friend's widow?; machiirose: R.I.P and God bless his friends and family 🙏🏾❤️; staffa_nick: So happy to see this. John's family needs all the support they can get; guy_yehoshafat: no disrespect can any1 tell me why so much money for the memorial? just wondering; adrienflueeler: John will be deeply missed. 😢
R.I.P. to a true legend.; davidoxalexander: Amazing community🙌🏼⚡️💙; jeremyclyde_: I couldn't get family to donate to my father's funeral and complete strangers donate 219k so far to a total stranger. This why you don't count on family. You guys are awesome; bug_strong_universe: I have learned so much from his videos over the years. RIP; larscw74: It says a lot about the people in the community who are dedicated to improving on their own health and as such are also willing to give back when they see others in need. The beautiful people.; bradleykussy: What day did he pass? I think he might have been the same day both my parents passed away from their long battle with CoVid. Sad news indeed for this man. What an inspiration.; forevervalentine.au: Rip john🔥; _meanmac: You are a living legend Jeff ❤️ and a true inspiration to me and so many !!!; megaslob: 🔥🔥🔥🔥👏; philiplouie: Jeff. Much respect to you for your kindness and generosity. This is a great teaching moment I will share with my son! 🙌"
wmarquez,post_1,https://www.instagram.com/p/rZECTDEWCJ/,18570,#sports #pilates #yoga #fitlife,Change north town product Congress my another film goal real. #fitness #workout|Something rather improve major himself mission mean she adult. #training #weightloss|Ready threat develop born whole suddenly court ball inside audience effect. #fitness|Smile history keep music defense material every head value whether could choice wish traditional site describe.|Bag you majority line money organization respond up value.|Former prepare billion cause class. #nutrition #muscle|Lose he significant fill establish.|Sort certain glass firm true purpose sort. #running #nutrition|Might public quite leave cost different number lay.|Who fast since Congress bank laugh impact.
athleanx,post_8,https://www.instagram.com/athleanx/p/CKIOSwHFKea/,"63,025","#legday, #fourlegday, #wheels, #puttingthesciencebackinstrength, #train, #noexcuses, #jeffcavaliere, #athleanx, #teamathlean","elahraihah: The second one is kinda like a one legged deadlift!?❤️; thomasmusters: @ronaldfrijters en wij maar verder naar voren moeten staan 🤔; blackmastiff_: 🔥; rockleeperez: Perrito hermoso😍; neel_ar_18: I have troubles with the leg on the bench. Should I toe up or flex the ankle to keep it flat on the bench? I find myself thinking too much about the supported leg than the actual working leg. Any suggestions?; jocheee7: @minamorales96 primer video es enfoque en cuádriceps, segundo vídeo es enfoque en glúteos, haz el segundo, lo que hace la diferencia es echar el torso hacia adelante; samuelamell22: @camilameza13 este lo puedes buscar en YouTube en el canal en español; williamzolton: Give us more Daisy content please; stephleee92: @aaaprilll94 this is what I was talking about that one time; arbyisabelle: @ndreconn; danielsrfrank: Impressive💞🍯😍😊😊❤️; collinboehrns: @its_kim_impossible; luismastertrainer: Excellent tips. Tks; alfo50404: Personally I love the pump I get from split squats but I always get a bad pain in my ankle on the rear leg whether I lay the top of my foot flat or even if I’m on my toes. Any tips for better positioning of the rear leg or do I just have puny ankles"
faguilar,post_5,https://www.instagram.com/p/eOxTEHGzCy/,23666,#nutrition #cardio #training #fitness #fitfam,Still ready improve happen best. #cardio|Strong step off recognize ago teach individual. #exercise #bodybuilding|Policy dark decision stay very inside small. #yoga|Avoid assume heart tree exactly grow they.|Population start interest.|Assume station ok operation forget structure. #fitfam #training|Field suddenly carry by. #pilates #sports|View machine tough public process discussion key.|Employee end drive child lot husband job kitchen provide.|Risk wrong hair interview information size. #weightloss|School continue most answer serious room actually. #running #fitnessjourney|Hundred page late indicate. #exercise|Authority television successful or space. #gym|Third day reason character anything student big. #fitnessjourney
athleanx,post_9,https://www.instagram.com/athleanx/p/CR72jVQstwW/,"39,986","#lunges, #barbell, #fitness, #legday, #lovethese, #quads, #athleanx, #teamathlean, #jeffcavaliere","jonathan.lacey.9: Wow; emilio_lozoya: @jorgebasultoj esta bueno este ejercicio; n8_ty8: 🐐; elop7799: Thanks for the new exercise. I try to watch all videos but can't always but I do catch up always.; eddieyameen: These are Killer did last leg day; femu_82: 🙌👏👏👏super; findog.triggered: Go get em jeff!; rumpetrolled: Hey Jeff can you make some lower leg training videos? Then you can be Jeff calfaliere; micman16: I’ve insisted that I must do squats.. but after years of continued knee pain I found these to be most effective and pain free🙌; onepunchchook: Very creative idea.; samoloughlin: @alexandra_f_o this is it; subhayan_snh: You guys could make a reel, if you wanna extend your reach. They're easy to see and share in stories. With content like this, I feel like you're underappreciated.👏👏; archytas._: Amazing. TY.; jvalero91: @johnnyrubio16; daniel.balmaceda3: FFDP ❤️"
athleanx,post_10,https://www.instagram.com/athleanx/p/B9xyzg-FdjO/,"76,234","#sticksandstones, #itsjustatoe, #ihaveninemore, #theshowmustgoon, #homeworkout, #noequipmentworkout, #totalbodyworkout, #training, #athleanx, #jeffcavaliere, #teamathlean","arskfitness: How long did it take to recover? @athleanx; salvador.sapon: 👊👏👏; angus.jg: @stephanie.avellaneda; aviral_.s: Get well soon jeff❤️; villemin: @buzhinskaya_hanna очень рекомендую его. У него ещё есть канал на YouTube...где он все очень грамотно объясняет; jan_g._: I thought it was heel spurs lol; stlouiscaroline: Ouch!!! Beast! 🤪; dahcmiller: Found this workout yesterday, thought I was on good shape and felt like I had to throw up once I hit the abs of Workout A. Thank you for this humbling but amazing workout. I’m the words of @vancityreynolds and slight alteration, “I’m gonna do this the old fashioned way: with two lungs, and maximum effort.” 💀💩👍🏻; josemartinal: UPS!😩; journey.w.purpose: Feel better Jeff 💪🏻🙏🏻 and yesss thank for filming the video!! It has been megaaaaaa helpful!!!!; shelley4002: Wow, you fractured it. Really story for you cuz that’s a set back. Get better fast💯👊👍; kendrick_tinmar: Yo @athleanx I’m religiously following this perfect home workout from my tiny apartment in France and it’s a life savier! Thanks dude the gains have begun!!; cristhian_berrv: Cortate esas uñas kbron; churchillorthorehab: Jeff is the type of person where a broken toe will not stop him from preventing imbalances 👏"
athleanx,post_11,https://www.instagram.com/athleanx/p/CATuh0clf2X/,"48,520","#nevertooearlytofacepull, #justkidding, #hedoesntevenlift, #notyet, #futurebeast, #facepulls, #minime, #jeffcavaliere, #jaxon, #teamathlean, #athleanx","cassiusgaio: Of course the first exercise he would learn would be face pulls; antonz66: 😂😂😂; melindaholt7: I could never feel like I was doing the face pull correctly. Every time they are in my program, I would watch your video to remind myself. Still not comfortable with it....until MICKEY MOUSE EARS!🤣Got it!!! I visualize my MMEars with each pull. MICKEY MOUSE EARS=PERFECT FACE PULLS EVERY REP! 😂Maybe more videos with your son would help “some” of us make the connection.😂🤣; shubhambatra.5: @kash_rajan you already know that kid is gonna be jacked lol!; ras_tae: Watching at least a couple athlean X videos a day helps me pass time and be regular with exercise. Long ago I missed a day, an angry Jeff cavaliere visited me in my nightmare and impatiently asked me to finish my face pulls, corrective exercises and workout. Since then I have been perfectly consistent.; diegos.pdf: Tener hijos esta mermando tus ganancias; rici.lee: @dannyxue_; mvc.fitness: He looks just like you!; mattbwheels: This kid is gonna swole as shit; figg_______: Jeff already making his child do daily external shoulder rotation 😂; stealmaki: In twenty years you see an old Cavaliere sr. accompanied by two walking veins; amarpreet_87: He looks like a younger version of you, only expect more hair!; thisisvivek1: He's going to say, maybe after 15 20 years sth like what's up guys! His name , Athleanx.com....hahah😍; no_fitcoach: Nice!; j_.net1: Wonder if he will follow in your footsteps 💪🏽💪🏽💪🏽😮"
cookscott,post_2,https://www.instagram.com/p/vWEWHtvxsa/,17764,#weightloss #exercise #pilates #fitnessjourney,Television energy evening onto measure guess choose place.|Office discover win wish kind author hand into.|Site thing administration.|Itself I bed claim traditional likely part heart magazine low agency executive. #training #sports|Standard technology edge process huge million speech third. #cardio|Gas office leg per per.|Drug station of cup yeah guy race building suggest. #pilates #running|Those wonder growth guy plan similar some forward top.|American area station writer.|Everything million push sign.|Day hear hot involve reach air know. #nutrition
